rank,song_name
5,the end of the movie
4,whos the new guy
3,dont be a lawyer
2,lets generalize about men
1,settle for me
1,oh my god i think i like you that bridge tho
2,nothing is ever anyones fault
3,face your fears
4,you stupid bitch
5,love kernels or whatll it be or settle for me or we tapped that ass
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
1,gettin bi
2,strip away my conscience
3,loves not a game
4,im a good person
5,trapped in a car
1,pingpong girl criminally underrated
2,dont be a lawyer
3,first penis i saw
4,gregs drinking song
5,no one else is singing my song
1,well never have problems again
2,lets generalize about men
3,you stupid bitch
4,what itll be
5,math of love triangles
1,a diagnosis
2,im a good person
3,lets generalize about men
4,nothing is ever anyones fault
5,whatll it be
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
1,after everything ive done for you that you didnt ask for
2,settle for me
3,im the villain in my own story
4,gettin bi
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
5,im just a girl in love
4,no one else is singing my song
3,west covina
2,antidepressants are so not a big deal
1,you stupid bitch
1,lets generalize about men
2,the moment is me
3,whatll it be
5,strip away my conscience
1,lets generalize about men
2,sexy getting ready song
3,lets have intercourse
4,settle for me
5,man nap
1,stupid bitch
2,the buzzing from the bathroom
3,end of the movie
5,the moment is me
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
1,we tapped that ass
2,we tapped that ass
3,we tapped that ass
4,we tapped that ass
5,we tapped that ass
1,you stupid bitch
2,after everything you made me do that you didnt ask for
3,im the villain in my own story
4,eleven oclock
5,i go to the zoo
4,loves not a game
3,we tapped that ass
1,settle for me
1,nothing is ever anyones fault
2,the miracle of birth
3,remember that we suffered
4,whos the new guy
5,antidepressants are not a big deal
1,sexy getting ready song
2,jap battle
3,end of the movie
4,dont be a lawyer
5,i go to the zoo
1,well never have problems again
2,angry mad
3,you stupid bh
4,it was a st show
5,flooded with justice
1,real life fighting is awkward
2,hot fit guys have problems too
3,devil winds
4,trapped in a car with someone you dont wanna be with
5,gregs drinking song
1,lets generalize about men
2,the sexy getting ready song
3,i go to the zoo
4,gettin bi
5,the moment is me
4,research me obsessively
3,the moment is me
2,first penis i saw
1,lets generalize about men
1,im a good person
2,hello nice to meet you
3,first penis i saw
4,i have friends
5,stuck in a car with someone you dont want to be stuck in a car with
1,you stupid bitch
2,we tapped that ass
3,horny angry tango
4,hello nice to meet you
5,buzzing from the bathroom
1,you stupid bitch
2,lets generalize about men
3,wheres the bathroom
4,the sexy getting ready song
5,loves not a game
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
5,oh my god i think i like you
4,ping pong girl
3,antidepressants are so not a big deal
2,a boy band made up of four joshes
1,lover kernels
1,first penis i saw
2,after everything lve done for you that you didnt ask for
3,maybe shes not such a heinous bitch after all
4,the group mind has decided youre in love
5,this session is going to be different
1,i go to the zoo
2,it was a shit show
3,a diagnosis
4,you stupid bitch
5,dont be a lawyer
5,loves not a game
4,love triangles
3,end of the movie
2,whatll it be
1,you stupid bitch
2,settle for me
3,lets have intercourse
4,face your fears
5,lets generalize about men
1,after everything ive done for you that you didnt ask for
2,settle for me
3,im the villain in my own story
4,gettin bi
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
5,trapped in a car
4,maybe this dream
3,i go to the zoo
2,gregs drinking song
1,you stupid b
5,gettin bi
4,i gave you a uti
3,the darkness
2,settle for me
1,put yourself first
1,after everything i did for you that you didnt ask for
2,nice to meet you
3,you stupid bitch
4,the group mind has decided youre in love
5,miracle of birth
5,lets generalize about men
4,strip away my conscience
3,first penis i saw
2,dont be a lawyer
1,i go to the zoo 
5,this session is gonna be different
4,lets generalize about men
3,the math of love triangles
2,after everything you made me do that you didnt ask for
1,you stupid bitch  goodbye crazy ex girlfriend ill miss u 
1,a diagnosis
2,i love my daughter but not in a creepy way
3,lets generalize about men
5,dont be a lawyer
1,settle for me
2,it was a  show
3,the end of the movie
4,gregs drinking song
5,west covina
1,you stupid bitch
2,settle for me
3,lets generalize about men
4,my sperm is healthy
5,lets have intercourse
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
1,strip away my conscience
2,tell me im okay patrick
3,oh my god i think i like you
4,i go to the zoo
5,math of love triangles
5,we tapped that ass
4,a diagnosis
3,lets generalize about men
2,you stupid bitch
1,first penis i saw
5,face your fears
4,math of love triangles
3,we tapped that ass
3,buzzing from the bathroom
1,im a good person
5,lets have intercourse
4,a boy band made up of four joshes
3,i want to be a child star
1,oh my god i think i like you
1,having a few people over  gettin bi  i love my daughter  youre my best friend
2,the math of love triangles
3,feelin kinda naughty
4,settle for me
5,you stupid bitch
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
5,we tapped that ass
4,a diagnosis
3,lets generalize about men
2,you stupid bitch
1,first penis i saw
1,rebeccas reprise
2,oh my god i think i like you
3,well never have problems again
4,i go to the zoo
5,you stupid bitch
1,settle for me
2,you stupid bitch
3,a diagnosis
4,lets generalize about men
5,the end of the movie
1,no else is singing my song
2,fit hot guys
3,oh my god i think i like you
4,first penis i saw
5,dont be a lawyer
5,we tapped that ass
4,a diagnosis
3,lets generalize about men
2,you stupid bitch
1,first penis i saw
1,antidepressants are so not a big deal
2,west covina
3,a diagnosis
4,wheres the bathroom
5,feeling kinda naughty
1,lets generalize about men
2,settle for me
3,first penis i saw
4,oh my god i think i like you
5,no one else is singing my song
1,loves not a game
2,a diagnosis
3,i go to the zoo
4,first penis i saw
5,oh my god i think i like you
5,hello nice to meet you
3,end of the movie
2,remember that we suffered
1,oh my god i think i like you  this was way harder than i thought it would be
1,lets generalise about men
2,fit hot guys have problems too
3,lets have intercourse
4,without love you can save the world
5,no one else is singing my song
1,settle for me
2,west covina second reprise
3,im just a girl in love
4,im the villain in my own story
5,well never have problems again
1,we tapped that ass
2,math of love triangles
3,strip away my conscience
4,sports analogies
5,first penis i saw
1,lets generalize about men
2,the math of love triangles
3,antidepressants are so not a big deal
4,face your fears
5,the group mind has decided youre in love
1,we tapped that ass
2,we tapped that ass
3,we tapped that ass
4,we tapped that ass
5,we tapped that ass
1,the math of love triangles
2,you stupid bitch
3,settle for me
5,we tapped that ass
1,lets generalize about men
2,no one else is singing my song
3,i go to the zoo
4,fit hot guys have problems too
5,jap battle
1,we should definitely not have sex right now
2,i love my daughter
3,dream ghost
4,the first penis i saw
5,real life fighting is awkward
1,lets generalize about men
2,maybe this dream
3,west covina whatll it be
5,dont be a lawyer
1,a diagnosis
2,ive always never believed in you
3,gettin bi
4,it was a shit show tied with settle for me
5,nothing is ever anyones fault
1,im a good person
2,heavy boobs
3,dont be a lawyer
4,wheres the bathroom forget it tie
5,i go to the zoo
1,oh my god i think i like you
2,jap battle
3,a diagnosis
4,strip away my conscious
5,i go to the zoo
1,strip away my conscience
2,a diagnosis
3,women gotta stick together
4,im not sad youre sad
5,the darkness
5,we tapped that ass
4,a diagnosis
3,lets generalize about men
2,you stupid bitch
1,first penis i saw
1,i think i like you
2,but i could if i wanted to
3,dont be a lawyer
4,im a good person uncensored
5,sports analogies
1,oh my god i think i like you
2,jap battle
3,a diagnosis
4,strip away my conscious
5,i go to the zoo
1,you stupid bitch
2,a diagnosis
3,the end of the movie
4,hello nice to meet you
5,i go to the zoo
5,strip away my conscience
2,sex with a stranger
4,we tapped that ass
1,the end of the movie had no idea groban was appearing lost it at the reveal
2,lets generalize about men
3,the sexy getting ready song
4,the moment is me
5,a diagnosis 
1,lets generalize about men
2,jap battle
3,i give good parent
4,dont be a lawyer
