X1,name,track_uri,explicit,duration_ms,track_number,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,season,artists,song_name_lower
0,What’s Your Story,spotify:track:7yQsUsTGnTjspXYEMdj3sH,FALSE,219026,1,26,7,1,1,0.709,0.798,0.462,0,0.391,-8.426,0.868,0.395,119.219,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",whats your story
1,No One Else Is Singing My Song,spotify:track:0HcYJ6tGLPBo7lMCduqEiv,FALSE,205025,2,35,0,1,4,0.658,0.663,0.52,0,0.135,-6.375,0.0423,0.315,75.035,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Vincent Rodriguez III', 'Scott Michael Foster']",no one else is singing my song
2,Maybe I’m Just Broken,spotify:track:5lXFP1uFo9xSxetEdnqdFX,FALSE,38220,3,19,0,0,4,0.272,0.759,0.909,0,0.285,-4.962,0.132,0.645,180.005,Season 4,"['Crazy Ex-Girlfriend Cast', 'Danny Jolles']",maybe im just broken
3,Crazy Ex-Girlfriend Theme,spotify:track:1QrUuRJRWcE9voF0cpCp58,FALSE,34055,1,28,11,1,4,0.371,0.533,0.573,0,0.167,-5.222,0.21,0.985,84.981,Season 1,['Crazy Ex-Girlfriend Cast'],crazy exgirlfriend theme
4,West Covina,spotify:track:6Z7cLBlMkmO5CwChCkkeHj,FALSE,199191,2,29,9,1,4,0.847,0.474,0.405,1.96e-6,0.327,-7.113,0.0626,0.524,105.211,Season 1,['Rachel Bloom'],west covina
5,West Covina Reprise,spotify:track:694XxRJlTHYJs48IQdxhW3,FALSE,74661,3,26,11,1,3,0.951,0.497,0.215,0,0.107,-10.838,0.0592,0.282,132.264,Season 1,"['Rachel Bloom', 'Donna Lynn Champlin']",west covina reprise
6,The Sexy Getting Ready Song,spotify:track:47HkZwcODdmEbBbB5Vr5EF,TRUE,147423,4,29,1,0,4,0.121,0.742,0.376,0,0.0751,-13.798,0.203,0.603,80.039,Season 1,['Rachel Bloom'],the sexy getting ready song
7,Feelin’ Kinda Naughty,spotify:track:6fmjlrgdpMIR41fMcVmTXN,FALSE,109327,5,30,10,0,4,0.0297,0.856,0.799,3.18e-5,0.0654,-4.728,0.225,0.665,132.993,Season 1,['Rachel Bloom'],feelin kinda naughty
8,I’m So Good At Yoga,spotify:track:7AGKmtMipnhvkbtRKpJXD1,TRUE,119431,6,28,7,1,4,0.184,0.685,0.801,0,0.178,-6.708,0.129,0.362,104.91,Season 1,"['Crazy Ex-Girlfriend Cast', 'Gabrielle Ruiz']",im so good at yoga
9,Face Your Fears,spotify:track:7wPtf6mqhwtcVkPhvdWdoC,FALSE,189357,7,32,7,1,4,0.598,0.366,0.621,0,0.0894,-4.683,0.115,0.453,79.281,Season 1,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin']",face your fears
10,I Have Friends,spotify:track:5SPEADmBH5fPbNZ5JuP9dq,FALSE,72734,8,31,10,1,4,0.0967,0.885,0.868,0,0.0213,-4.031,0.271,0.847,146.908,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Ava Acres']",i have friends
11,A Boy Band Made Up Of Four Joshes,spotify:track:2NTVdPjTbSWXLFuEz0Q47m,FALSE,116605,9,27,7,1,4,0.324,0.723,0.753,0,0.0665,-7.897,0.267,0.805,93.049,Season 1,"['Crazy Ex-Girlfriend Cast', 'Vincent Rodriguez III']",a boy band made up of four joshes
12,Settle For Me,spotify:track:1zcflZcndRkeGW9aNfASiR,FALSE,191800,10,38,0,1,4,0.536,0.549,0.475,0,0.106,-5.596,0.0877,0.52,154.911,Season 1,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']",settle for me
13,Settle For Me - Reprise,spotify:track:0osOS9ZyzC6CcegQmBJonl,FALSE,53063,11,25,10,1,4,0.933,0.517,0.23,0,0.432,-8.358,0.0789,0.689,126.319,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",settle for me  reprise
14,Sex With a Stranger,spotify:track:75QOKb31jCcS94FWq5pxqo,FALSE,112659,12,29,4,0,4,0.305,0.897,0.688,0,0.0816,-6.221,0.229,0.799,99.941,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",sex with a stranger
15,I Love My Daughter (But Not In A Creepy Way),spotify:track:0PSK416QXkjX3qaQosctJC,FALSE,135817,13,25,1,0,4,0.573,0.794,0.566,0,0.128,-6.597,0.0481,0.547,119.933,Season 1,"['Crazy Ex-Girlfriend Cast', 'Pete Gardner']",i love my daughter but not in a creepy way
16,I’m A Good Person,spotify:track:48T5Yc79kZS7G7UFto7txw,TRUE,113777,14,33,6,0,4,0.0994,0.819,0.76,0,0.163,-4.52,0.256,0.968,160.22,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",im a good person
17,I Give Good Parent,spotify:track:1kmT8DBppJFyT2to63lF4g,TRUE,114870,15,32,0,1,3,0.165,0.533,0.739,0,0.14,-6.39,0.379,0.464,178.46,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",i give good parent
18,What’ll It Be?,spotify:track:4YGf9dmVFxgCgr39VG4FrV,FALSE,179020,16,29,5,1,3,0.897,0.519,0.429,0,0.112,-7.15,0.0711,0.393,170.879,Season 1,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']",whatll it be
19,His Status Is… Preferred,spotify:track:2zqc3wXpha0uSJmUyYWhWI,FALSE,156654,17,24,5,0,3,0.808,0.613,0.333,0,0.0954,-9.036,0.0438,0.412,114.762,Season 1,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin']",his status is preferred
20,I’m In a Sexy French Depression,spotify:track:1YJuwOcybjlgJAUsxiXAFQ,FALSE,132673,18,25,8,0,4,0.792,0.517,0.276,0,0.102,-9.364,0.0427,0.31,58.704,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",im in a sexy french depression
21,Where’s The Bathroom,spotify:track:7k3mhO6NjXtQ36Yt7kpylH,FALSE,170670,19,31,7,0,4,0.505,0.624,0.593,0,0.323,-6.779,0.428,0.795,74.618,Season 1,"['Crazy Ex-Girlfriend Cast', 'feat. Tovah Feldshuh']",wheres the bathroom
22,California Christmastime,spotify:track:06tH0VDAbwCvyDdVh9fgsn,FALSE,175587,20,25,1,1,4,0.0137,0.682,0.91,0,0.143,-3.226,0.0552,0.681,131.001,Season 1,"['Crazy Ex-Girlfriend Cast', 'feat. Rachel Bloom & Vincent Rodriguez III']",california christmastime
25,Settle For Me - Acapella,spotify:track:2vbtJlB01XL0UH1SSbpFLj,TRUE,181573,23,13,8,1,3,0.876,0.71,0.287,0,0.416,-9.833,0.878,0.263,67.031,Season 1,['Rachel Bloom'],settle for me  acapella
28,Women Gotta Stick Together,spotify:track:2hqDsBxSF8KBGMkGeMLnOH,FALSE,164714,1,26,0,1,4,0.134,0.815,0.672,0,0.148,-5.088,0.0464,0.771,133.012,Season 1,"['Crazy Ex-Girlfriend Cast', 'Gabrielle Ruiz']",women gotta stick together
29,West Covina - Second Reprise,spotify:track:3TrGahNq7WPRkPFqq6wgkd,FALSE,63484,2,24,4,1,4,0.811,0.439,0.298,0,0.365,-13.925,0.251,0.389,182.279,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Vincent Rodriguez III']",west covina  second reprise
30,Dear Joshua Felix Chan,spotify:track:4bKRYCn8ANQmbZNelGcKa5,FALSE,77355,3,23,0,1,3,0.938,0.604,0.328,0,0.163,-7.842,0.141,0.418,83.83,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",dear joshua felix chan
31,Having A Few People Over,spotify:track:7ojvLFoWHgYUVhgh2iNCFc,FALSE,89401,4,23,7,1,4,0.0037,0.77,0.961,0.377,0.354,-3.964,0.085,0.422,128.044,Season 1,"['Crazy Ex-Girlfriend Cast', 'Pete Gardner']",having a few people over
32,Put Yourself First,spotify:track:6fBkrED2M67N4Hrj3PHGCj,FALSE,87361,5,31,4,0,4,0.238,0.59,0.814,0,0.262,-4.732,0.455,0.886,199.463,Season 1,"['Crazy Ex-Girlfriend Cast', 'Lulu Antariksa', 'Marisa Davila', 'Jazz Raycole']",put yourself first
33,Textmergency,spotify:track:1WY5vbxoeIlTFW2SNE7nhF,FALSE,172074,6,24,8,1,4,0.0524,0.675,0.846,0,0.791,-4.232,0.0558,0.624,108.007,Season 1,"['Crazy Ex-Girlfriend Cast', 'Ester Dean', 'Briga Heelen', 'Ivan Hernandez', 'Jeff Hiller', 'Scott Vance']",textmergency
34,Where Is The Rock?,spotify:track:203HPQ7tLxnLM1FimItKN2,FALSE,47413,7,21,7,1,4,0.00801,0.725,0.695,1.72e-6,0.126,-3.969,0.062,0.736,146.807,Season 1,"['Crazy Ex-Girlfriend Cast', 'Ester Dean', 'Briga Heelen', 'Ivan Hernandez', 'Jeff Hiller']",where is the rock
35,You Stupid Bitch,spotify:track:44HL26SUtbBmG1HixC308t,TRUE,142817,8,35,7,0,3,0.623,0.442,0.527,0,0.297,-4.982,0.0314,0.453,102.248,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",you stupid bitch
36,Group Hang,spotify:track:0A4WHcKK8zZodYWfpYo1fA,FALSE,123325,9,26,10,0,4,0.406,0.722,0.82,0,0.0896,-5.146,0.347,0.786,108.05,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",group hang
